user.id,Party,weight
5715752,Grüne,-1
14455824,Grüne,-1
14760636,SPD,0
17563257,Neutral,0
21389328,Grüne,-1
21639929,Grüne,-1
23836866,Grüne,-1
25880990,Neutral,-1
30859620,FDP,-1
33180614,Linke,0
35846585,Neutral,0
36642480,Grüne,-1
39994751,Neutral,-2
39994751,SPD,-1
42661466,Neutral,0
42698498,CDU/CSU,0
48740060,Neutral,0
51248346,Grüne,-1
52024480,Grüne,0
52024480,Neutral,0
53374478,Neutral,-2
55178663,Grüne,-1
68662384,Grüne,-1
69579611,Linke,0
73707530,Neutral,0
85927497,Grüne,-1
87281380,Linke,0
88887465,Neutral,-1
90377521,SPD,0
95273241,Linke,0
95606188,Neutral,0
96752326,Grüne,-1
99062509,Linke,0
104100946,Neutral,0
110774602,Linke,0
127505576,Neutral,-2
127505576,SPD,-1
162779888,Grüne,-1
177490072,Neutral,-1
185367751,Neutral,0
191589380,Grüne,-1
209218434,Grüne,-1
209218434,SPD,0
210354218,Neutral,0
210354218,SPD,0
212875693,Neutral,-1
214190877,Linke,0
225423410,Linke,-1
225452189,Neutral,0
238096316,Linke,0
262222386,Neutral,0
265392958,Neutral,0
280030679,Neutral,0
290726218,Neutral,-1
299357728,Neutral,-1
302777495,Neutral,0
323479652,Neutral,0
382248824,Neutral,0
388286127,SPD,0
404124016,Grüne,-1
404124016,Neutral,-1
414977995,Grüne,-1
425125521,Neutral,0
435085976,Neutral,0
443036348,Neutral,0
460922503,Neutral,0
502535674,Grüne,0
502535674,Neutral,0
529416943,Neutral,0
543441188,Neutral,-1
546080350,Neutral,-1
557368188,Grüne,-1
569166756,Grüne,-1
604804773,Linke,0
706309240,Neutral,0
809895794,Neutral,-1
844081278,Neutral,0
846997668,SPD,0
847843664,FDP,-1
855324133,Neutral,-1
870200407,Neutral,-1
900543690,Neutral,-1
917269562,Neutral,0
937230565,Linke,0
952164589,Linke,0
1011720810,Neutral,0
1148515411,Grüne,-1
1149056118,Neutral,-16
1159091352,Neutral,0
1165372614,Grüne,1
1165372614,Neutral,1
1211347957,Neutral,0
1216983552,Neutral,-1
1236939156,Linke,-1
1236939156,SPD,-2
1263990463,Neutral,0
1273010575,Neutral,-1
1296624835,Grüne,-1
1305881724,Neutral,0
1334295828,Neutral,-3
1342154214,Neutral,-1
1365690290,Grüne,-1
1402523592,Neutral,-2
1425265488,Neutral,-1
1430829338,Linke,0
1439289019,Grüne,-1
1445947082,Neutral,-1
1446217872,Neutral,-1
1479086311,Neutral,0
1548849403,Linke,0
1551170202,Neutral,0
1612704416,Grüne,-1
1642419774,Neutral,-2
1683845126,Linke,-1
1729349454,Grüne,-1
1860618907,Neutral,-2
1864102783,Neutral,0
1883602766,Neutral,0
1901534580,Neutral,0
1902098287,Grüne,-1
1910675252,Linke,-1
1917215779,Neutral,-2
2166283932,CDU/CSU,0
2172431544,Grüne,-1
2201943391,Neutral,0
2248232049,Neutral,-1
2335438418,SPD,0
2385613400,Neutral,0
2391835236,Grüne,-1
2408605103,Neutral,-2
2414168274,Neutral,0
2441082247,Neutral,0
2465907259,Neutral,0
2466986989,Neutral,0
2490304093,Neutral,-2
2490304093,SPD,-1
2497181323,Grüne,-1
2539781841,Neutral,0
2562814182,Neutral,0
2567785731,Neutral,0
2575310137,Neutral,-1
2596607377,Linke,0
2600355692,Neutral,0
2604167895,Grüne,-1
2613263442,Neutral,0
2618307813,Neutral,-2
2626649901,Linke,-1
2660686388,Neutral,-1
2746361571,Neutral,-3
2791503751,Neutral,0
2802490987,Neutral,-1
2806110677,Grüne,-1
2825795856,Neutral,0
2886118713,Neutral,-1
2931055269,Grüne,0
2942233179,Neutral,-2
2954591445,Neutral,0
2967701367,Grüne,0
2967701367,Neutral,0
2973137434,Neutral,0
2978570415,Neutral,0
2985407295,Neutral,-2
3027662650,Linke,0
3041102615,Neutral,-16
3050701870,Linke,0
3105323173,Linke,0
3154595903,Neutral,-1
3218487795,Neutral,0
3241983976,Linke,0
3337461591,Neutral,-2
3340654198,Neutral,-1
3364793391,Grüne,0
3364793391,Neutral,0
3379026718,Neutral,0
3379026718,SPD,0
3387834928,Grüne,-1
3395348381,Neutral,0
3405618545,Neutral,0
3414086001,Neutral,-2
3427951089,Neutral,-1
3448073356,Neutral,-17
3461419335,Neutral,0
3504705856,Neutral,-1
3578278876,Grüne,-1
3586587142,Linke,0
3621681203,Neutral,0
3666972316,Neutral,0
3708597376,Linke,0
3710251096,Neutral,0
3803162481,Neutral,0
3889665471,Neutral,0
4185539422,Neutral,-2
4185539422,SPD,-1
4228363584,Neutral,0
4228398914,Neutral,-1
4251989776,Neutral,0
4320450802,Linke,0
4379225363,Neutral,-2
4427428401,Neutral,0
4552617575,Grüne,-1
4621226295,Neutral,0
4723069840,Neutral,-1
4726060822,Neutral,-1
4733579495,Neutral,0
4824026421,Neutral,0
4828089006,Grüne,-1
4830265798,Neutral,0
4832923672,Neutral,-1
4850613244,Neutral,0
701083132766846976,Neutral,-1
705331064164769793,Neutral,-1
718039064235085828,Neutral,0
719915239513436160,Neutral,0
720341331940212737,Grüne,-1
723285656500342784,Neutral,-1
725092721246003201,Neutral,-1
726377646356070402,Neutral,0
729330513488556032,Neutral,0
732249818035322880,Neutral,0
732852057489723392,Neutral,0
734585032430485504,Neutral,0
738771661915344897,Neutral,-2
739522376094896129,Neutral,-1
741748709751443456,Neutral,-1
745264589458247680,Neutral,0
747760281691000832,Neutral,-1
752130380862488576,Neutral,0
752619014338252801,Neutral,0
753550900287897600,Neutral,-2
755274759290716160,Neutral,0
755360208436727808,Neutral,0
755483067133886465,Neutral,-2
756946409023279105,Grüne,-1
757382733748379648,Neutral,0
757584921267433472,Neutral,-1
767129722530701312,Neutral,0
767772386368294912,Neutral,0
767772386368294912,SPD,0
770235887418535936,Linke,-1
771743784401006593,Neutral,0
777454128616341504,Neutral,0
778743504302321664,Grüne,-1
779692264830435328,Linke,0
784115837779185664,Neutral,0
784903714045829121,Neutral,-6
785448219463516160,Neutral,0
791987183863336960,Neutral,-1
793194472821690368,Neutral,0
796633003275538432,Neutral,-1
801836974285922305,Neutral,-3
803726940301627393,Linke,0
805053174621073408,Grüne,0
805487877639507968,Linke,0
808725472553168897,Neutral,0
810900348214841348,Linke,-1
811194405927452672,Neutral,-1
811544284344315909,Neutral,0
813320338398441472,Neutral,0
814443194708541440,Neutral,-1
814714398694588416,Neutral,-1
815905912787468290,Neutral,-1
817762065356099586,Grüne,-1
818938737564454913,Neutral,0
820930736341610496,Neutral,0
821638018532593664,Linke,0
823422075419377665,Neutral,0
823526873326120961,Linke,0
824156350439628801,Linke,0
824156350439628801,Neutral,0
824735617129021440,Neutral,-2
824918173896015872,Neutral,-1
825487588832198662,Neutral,0
826051268812611584,Neutral,-7
827880619040464897,Neutral,0
828361226497429505,Grüne,-1
829840677966118912,Grüne,-1
830708129448984576,Neutral,-1
831965365026615297,Neutral,0
836338243364876290,Neutral,0
837423234995924996,Grüne,1
838116062776406016,Neutral,0
838324843825213440,Neutral,0
841039692514631680,Neutral,0
841768687245918208,Neutral,0
856587551112650753,Neutral,-1
857604038606688256,Linke,0
862025574344249345,Neutral,-4
864983682196676608,Neutral,0
866017427452301312,Grüne,-1
866030118648639488,Neutral,0
867415307454959620,SPD,0
870007425281253376,Neutral,0
870391831430868995,Neutral,0
871275371177664512,Neutral,-1
871334212556783618,Neutral,0
871374295309725696,Neutral,0
871731778620411904,Neutral,0
871827136990019584,Grüne,-1
873087474364329986,Grüne,0
873087474364329986,Neutral,0
877083027704295426,Linke,0
881166736766238720,FDP,0
881502915122397184,Neutral,0
881564226208378880,Linke,0
883035036727029761,Neutral,0
883308613581852674,Linke,0
883710749230714880,Neutral,0
883959681538035712,Linke,0
884396223083536384,FDP,-1
885035508795047936,Neutral,0
886576112532418560,Neutral,0
888134220991913984,Neutral,-1
891358444086841345,Linke,0
892319704089587713,Linke,0
892809359834533888,Neutral,-3
892876234543308800,Neutral,0
892905106936672256,FDP,-1
